,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1199446,12.3504042,10.92109919,9.608171773,12.74131313,11.08070132,8.036033061000001,8.038599225,6.825912158,10.73242088,12.42819964,5.182731744,7.071452814,6.519254644
GSM1199447,13.5258935,10.56704512,10.04915628,12.61391811,11.0969913,7.8273553155,9.118530249,6.841894524000001,11.113201325,12.07472033,5.095976666,6.441622925,6.524311836
GSM1199448,12.82231105,10.88860097,9.407376439,12.3917205,10.70253461,8.1591074055,9.685451189,6.633769288,10.68227988,12.23677567,4.837508428,6.591303258,6.887666425499999
GSM1199449,12.05597479,11.10862698,9.395891203,11.94645131,10.7692953,7.1576730105,8.192755873,6.4456790745,10.703292495,11.98175674,4.251516059,6.092237143,6.4550654655
GSM1199450,6.636578555,11.58162832,7.695198418,11.58831045,8.525313716,8.8827533975,9.145409811,6.2125333744999995,9.235575377,9.221520097,5.883128457,6.660439946,5.314333599499999
GSM1199451,12.57539503,11.51415453,9.19479532,12.09769479,10.3776254,8.2355658575,8.337448693,6.0203175975,10.156824655,11.20668409,6.36380604,7.206096042,5.014315302
GSM1199452,12.63602006,11.02148712,8.741729089,12.06061145,10.82707973,7.745873499,8.638374749,5.789396945,10.959618965,12.08841202,4.994240823,6.69871835,6.572748028
GSM1199453,13.10688295,11.37692369,9.279246163,12.42819964,10.86354985,8.1760278125,9.189270771,6.5431458815,10.71191605,11.59178578,4.930874878,6.509517815,6.174059638499999
GSM1199454,12.7773694,10.5964195,9.081537519,12.30808116,10.92614372,6.839395892000001,8.04507558,6.743048303,10.305921385000001,12.30283055,5.025625491,6.380193519,6.5601979759999995
GSM1199455,12.63065258,10.8046699,9.526904907,12.98962812,11.62280658,7.1694329365,6.812334736,6.838880584,11.52844582,12.603251,4.643481585,6.448026118,7.284629623500001
GSM1199456,13.60575094,10.64847122,9.924016577,12.7773694,11.08603721,6.974356352499999,6.514922296,7.356162905,10.591805449999999,12.03632678,4.67710618,6.30562265,6.363596508500001
GSM1199457,11.42316507,10.03506172,9.012028767,12.42236563,10.86853654,6.650027788999999,9.048029484,7.834498756,10.523644225,11.94230419,3.472569649,7.388080526,6.7476517205
GSM1199458,12.48715521,11.07786266,9.706798415,12.59251298,11.1113704,8.117029464,6.685367545,5.967197768,10.87986825,12.47552445,5.618522102,6.630452795,6.278272559
GSM1199459,12.95646402,9.976962786,9.261572792,12.20694655,10.45557882,5.4764731995,8.06851749,7.9941270939999995,9.7684856415,10.96812104,4.468694907,6.351680377,6.6602051305
GSM1199460,13.32202575,10.61172184,9.88139942,12.80082434,11.59582361,7.0625838145,8.537986892,6.952766864,11.712179859999999,12.95646402,5.647930609,6.502402288,6.497002257
GSM1199461,13.00583982,11.0137002,9.468416626,12.44351777,11.31263568,7.7524373325,7.291871118,5.946828364,10.83180202,12.01245282,5.480747342,6.215969446,6.4632251205
GSM1199462,13.0494705,10.62052223,10.04267101,12.2978794,10.89122033,7.9328044124999995,9.550498848,6.074823746,11.00132048,12.37573838,5.317926825,6.255074368,6.437894849999999
GSM1199463,12.27698298,11.26814764,9.057872038,12.17800595,10.39781647,8.4860219635,8.174361434,5.833481095,10.122985831,11.26231615,6.393370125,6.657197959,5.527264844
GSM1199464,5.429655312,10.71157468,7.359190979,11.1446786,7.369873935,7.0787194595,9.01737524,6.2469974995,9.336036952,10.45760478,5.662846549,6.492118144,5.779948886
GSM1199465,13.40548306,10.57513429,9.505676846,12.55812292,11.56757393,7.127014385000001,9.388363813,6.536522994,11.10430573,12.53189161,5.046608317,6.413517182,6.391760936499999
GSM1199466,13.16716925,11.06952035,9.886928455,12.74131313,10.82249956,7.413345765500001,7.649743477,6.2637704815,10.521521585,12.06976835,5.457557465,6.475780873,5.962221508500001
GSM1199467,13.08872539,11.40355809,9.12613014,12.10644525,10.56902264,7.783280038500001,8.603610361,6.3059270545,10.643253614999999,11.76289946,5.499582908,6.155958353,6.4731058809999995
GSM1199468,5.27017222,11.57492632,7.234661526,10.74817448,8.194435117,8.2821816975,9.059561595,6.22075907,9.306773782499999,9.608171773,5.73996774,7.088676915,5.8457847025
GSM1199469,6.315992362,11.66361667,7.54553674,11.17049823,8.190454605,9.025228915,9.837119819,6.4227712355,9.528711322500001,8.950861147,6.130776469,7.103781661,5.3708748035
GSM1199470,12.71898427,10.76714978,9.1418622,12.36562069,10.93370797,7.424237129,9.037678443,6.364629385000001,10.787473255,11.41643096,4.421452463,6.96586115,7.223055265999999
GSM1199471,12.98962812,10.99017394,9.736248795,12.20694655,10.44779366,8.5935939025,9.07504843,6.4048387065,10.835815225,11.84218929,5.38542716,6.571871364,6.655411617
GSM1199472,10.94982354,11.27738048,9.575586585,11.81336065,10.70460339,8.2923097115,7.335335377,6.097499503,10.774294205,11.90391299,4.787937491,6.365579871,6.523327634999999
GSM1199473,9.054228169,11.40723045,7.729508871,11.13603738,9.088899927,8.592488618,8.830235764,6.6117264,9.512178594,10.41137557,6.551636369,6.337194932,5.9440470990000005
GSM1199474,13.57099759,10.33220131,9.893800229,12.90617017,11.82170192,7.413005478500001,9.051688389,7.043543719,11.505660135,13.29318928,4.543391047,6.306677723,7.1096073775
GSM1199475,13.11847365,10.17849657,10.32515746,13.20678755,11.38390062,6.861405336,8.277062251,6.825687606,11.692204400000001,12.87822669,4.35795676,6.502402288,7.194377900000001
